operatingunit,mechanismid,primepartner,implementingmechanismname
Angola,18347,Population Services International,Health for All (HFA)
Angola,17397,Charles Drew University,CDU  Angola
Angola,13607,Management Sciences for Health,SIAPS - OLD
Angola,17308,LINKAGES,LINKAGES
Angola,18437,Chemonics International,Procurement and Supply Management (PSM)
Angola,18437,Global Health Supply Chain Program,Procurement and Supply Management (PSM)
Angola,13559,JHPIEGO,Strengthening Angolan Systems for Health (SASH)
Angola,17490,Association of Public Health Laboratories,APHL
Angola,17850,Columbia University Mailman School of Public Health,ICAP
Botswana,16736,Botswana Red Cross,HIV care and treatment services in the Dukwi refugee camp
Botswana,17861,Project Concern International,Botswana Comprehensive Care and Support for Orphans and Vulnerable Children Project (former OVC TBD)
Botswana,18253,TBD,Community HIV Testing and Counseling and KP Support
Botswana,18253,University of Maryland,Community HIV Testing and Counseling and KP Support
Botswana,17274,University of Maryland,Capacity Building and Training
Botswana,17847,University of Pennsylvania,Capacity Building through Training and Mentoring for TB/HIV
Botswana,70016,TBD,[Placeholder - 70016 Botswana USAID]
Botswana,70014,TBD,[Placeholder - 70014 Botswana USAID]
Botswana,17863,"John Snow, Inc.",Advancing Partners and Communities Project
Botswana,18252,Government of Botswana,Quality HIV/AIDS Services through Government of Botswana
Botswana,17275,African Comprehensive HIV/AIDS Partnerships,Voluntary Medical Male Circumcision
Botswana,18252,TBD,Quality HIV/AIDS Services through Government Of Botswana
Botswana,13566,Tebelopele Voluntary Counseling and Testing,Expanding Access and Enhancing Quality of Integrated HTC Services
Botswana,18220,Global Health Supply Chain Program,Global Health Supply Chain Program
Botswana,17544,JHPIEGO,BDF Prevention and Circumcision Program
Botswana,70001,TBD,[Placeholder - 70001 Botswana DOD]
Botswana,18163,University of Washington,Technical assistance to strengthen government health systems
Botswana,18458,Government of Botswana,BCPP
Botswana,17007,African Society for Laboratory Medicine,Development of Lab Network & Society
Botswana,17005,U.S. Peace Corps,Peace Corps HIV/AIDS Activities
Botswana,17862,FHI 360,Linkages Across the Continuum of HIV Services for Key Populations Affected by HIV (LINKAGES) Project
Botswana,9915,American Society for Microbiology,Capacity building assistance for global HIV/AIDS microbiological labs
Burundi,17119,FHI 360,FHI 360 Burundi
Burundi,17520,Engender Health,BRAVI
Burundi,17522,Population Services International,PSI Burundi
Burundi,16664,FHI 360,PMTCT  Acceleration Project
Burundi,17552,FHI 360,Strengthening services for key populations/LINKAGES
Burundi,18419,TBD,SIMS 3rd party contractor
Burundi,18408,FHI 360,Youth Power
Burundi,18579,FHI 360,Reaching an AIDS Free Generation (RAFG)
Burundi,18579,TBD,Reaching an AIDS Free Generation (RAFG)
Burundi,18409,Right to Care,EQUIP
Burundi,70018,TBD,[Placeholder - 70018 Burundi DOD]
Burundi,16663,FHI 360,Integrated Health Project
Cameroon,17365,Metabiota,Strengthening Lab & MTCT Services in the military
Burundi,17556,U.S. Department of Defense Naval Health Research Center,DoD Mech Burundi (NHRC)
Cameroon,18195,Global Health Supply Chain Program,Global Health Supply Chain Program
Cameroon,17361,Cameroon Baptist Convention Health Board,CBCHB - PMTCT-ART Center-Littoral 2015
Cameroon,18195,Chemonics International,Global Health Supply Chain Program - GHSC-PSM
Cameroon,18229,NACC,Strengthening the Capacity of the National AIDS Control Committee
Cameroon,18229,TBD,Strengthening the Capacity of the National AIDS Control Committee
Cameroon,18667,TBD,TBD Yaounde Cluster Clinical Services - Centre TBD
Cameroon,18080,Columbia University,ICAP - PMTCT-ART Center-Littoral 2015
Cameroon,16743,Care International,"Continuum of Prevention, Care, and Treatment for HIV/AID with MARPs in Cameroon (CHAMP)"
Cameroon,13799,Global Health Systems Solutions,GHSS-Strengthening Public Health Laboratory Systems in Cameroon
Cameroon,16744,Catholic Relief Services,Key Interventions for Developing Systems and Services for Orphans and Vulnerable Children populations in Cameroon (KIDSS)
Cameroon,70031,TBD,[Placeholder - 70031 Littoral TBD]
Cameroon,12937,U.S. Peace Corps,Capacity Strengthening for Peace Corps Volunteers and Counterparts
Cameroon,17364,Population Services International,Prevention activities with Cameroon Military
Cameroon,18228,Cameroon Baptist Convention Health Board,ART services in 8 regions
Cameroon,18230,TBD,Strengthening Public Health Laboratory Systems in Cameroon
Cameroon,18228,TBD,ART services in 8 regions
Cote d'Ivoire,12679,"Ministry of Family, Women, and Social Affairs, Cote d?Ivoire",MFFAS-PNOEV CoAg 2010
Cote d'Ivoire,18382,Chemonics International,GHSCTA - Global Health Supply Chain Technical Assistance
Cote d'Ivoire,17763,FHI 360,LINKAGES
Cote d'Ivoire,18291,JHPIEGO,STRONG 2 - JHPIEGO
Cote d'Ivoire,18382,TBD,TBD - GHSCTA - Global Health Supply Chain Technical Assistance
Cote d'Ivoire,16861,"University Research Corporation, LLC",ASSIST
Cote d'Ivoire,18291,JHPIEGO,STRONG 2- JHPIEGO
Cote d'Ivoire,12803,Heartland Alliance,IMPACT-CI IMPROVING PREVENTION AND ACCESS TO CARE AND TREATMENT-COTE D'IVOIRE (Heartland HVP 2010 CDC CoAg)
Cote d'Ivoire,13525,Hope Cote d'Ivoire,Hope CI OVC-AB 2010 CDC CoAg
Cote d'Ivoire,70038,TBD,DOD FACI partnership program for sustainable HIV epidemic control
Cote d'Ivoire,18606,Johns Hopkins University Center for Communication Programs,Breakthrough Action
Cote d'Ivoire,18606,TBD,"TBD- HC3 follow on ""Breakthrough"""
Cote d'Ivoire,18596,ACONDA,ACONDA New 2018
Cote d'Ivoire,18377,TBD,Nouvelle Pharmacie de la Sante Publique
Cote d'Ivoire,18596,TBD,SEV CI - Follow-on TBD
Cote d'Ivoire,18290,International Rescue Committee,STRONG 1 - IRC
Cote d'Ivoire,18290,International Rescue Committee,STRONG 1- IRC
Cote d'Ivoire,18288,Elizabeth Glaser Pediatric AIDS Foundation,EGPAF Djasso
Cote d'Ivoire,17942,Abt Associates,PRIVATE SECTOR HEALTH PROJECT
Cote d'Ivoire,17914,ITECH,LABQUASY - Itech/University of washington CoAg
